ZCTA,Year,CustomerClass,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,AnnualTotalAverage,anyNull?
90008,2016,residential,691.3440233236151,629.3048600883652,553.6318114874816,509.05425219941355,551.3030746705709,572.6745913818722,654.5226939970718,657.8177777777778,594.3181148748159,568.712389380531,641.1723122238586,665.7772861356933,7289.63318754107,False
90008,2017,residential,731.5539143279171,627.0131578947369,524.1191176470588,438.7472049194428,517.2857142857143,527.9069423929099,705.5745937961595,614.3846153846154,650.1839762611277,557.8050595238095,606.6730769230769,620.434074074074,6682.934242511201,True
90008,2018,residential,604.5158200749574,571.2367299064748,631.6291121211204,547.0394736842105,495.9632892804699,492.46962962962965,772.9166666666665,727.5066273932254,563.7069219440352,501.0073855243722,593.6458333333334,645.4707646176913,5339.726592073634,True
90022,2014,residential,360.13787027742706,317.88180761379846,319.3366754148837,298.0301184698403,301.8497118380872,348.18462728981416,450.5990053255852,403.12148869804753,348.328659353669,418.66365510550565,321.87674545124827,330.2651598007048,1070.805560357459,True
90022,2015,residential,384.8409173423696,299.41536505630216,302.2686045032438,308.9672846237732,292.22125287774145,307.747509718173,398.39306708684325,427.48771759568143,488.17927801789733,476.9639568693967,364.34115435916084,345.10595180136323,4395.932059851946,False
90022,2016,residential,428.0474750529181,328.122087040736,294.39592705167166,296.1874203144922,283.2308299435371,310.73929417481634,433.7613044005334,487.84711246200607,418.3717185221196,397.85704775161895,335.3449678280928,349.22660883984946,4363.131793382391,False
90022,2017,residential,393.11991108288345,356.86546999873144,326.2794576357502,281.0729781848861,299.281618673094,324.2431522084525,454.83886496072967,484.4027063083667,501.4763234734036,354.98927801040475,355.17872772245835,322.07391462527283,4453.822402884433,False
90022,2018,residential,386.5753713463725,365.29408107616024,403.91376116695403,291.8391027584116,277.73761445637007,307.2708421754684,445.3838836716147,580.4469283896765,498.9033313143549,370.7855887521968,313.11023430860746,329.16725545133386,3414.644781278035,True
90023,2014,residential,363.83592503234127,321.14595844925867,322.6157654756618,301.0904233910252,304.9492380314099,351.75994086498815,455.2259549793949,407.2609182363505,351.90545191370563,415.50511140235915,330.60710553814005,335.68884797475016,1081.801064915249,True
90023,2015,residential,367.07182175622535,290.6110384514779,309.5767515087903,298.35292574127527,292.3028316727845,307.1432325886991,366.51761942051684,397.0785601681556,468.9410215903107,451.96095387840666,386.84945112388914,343.8168199737188,4280.22302787425,False
90023,2016,residential,396.22120178430856,341.52505903962214,290.3516425755585,285.19484240687683,295.0036307053942,290.34561494551116,391.82139148494286,481.15430653135564,411.7068920676203,375.3636363636364,345.95414507772017,336.16328653146127,4240.805649514008,False
90023,2017,residential,371.4289032258063,365.80606689136636,311.16042641705667,272.4819843342037,311.73927735898104,298.90226150246946,423.89901605385813,466.36283643892335,473.5138780804151,352.5954734651405,373.2977237454734,311.13692946058086,4332.324776974275,False
90023,2018,residential,374.8325655156989,354.1977263077955,391.6442757799225,297.50116309123797,274.2892755128538,281.7001813941436,405.4125746947259,542.7691511387163,499.31357254290174,381.37668393782377,324.7252404471016,303.83198959687905,3310.919832356384,True
90032,2014,residential,317.4602333004779,280.21166651903565,281.4941272366438,262.7124741619676,266.0794319352852,306.9234927332565,397.20139746877817,355.3501378567447,307.05045647788825,343.751733984883,273.58136633217975,302.83,302.83,True
90032,2015,residential,343.6172628151024,285.63,264.52760204829264,284.79411764705884,271.82122427544954,298.65388367537355,375.0216973378752,388.55882352941177,448.82008029949293,458.86,319.4349407168449,313.79698578459113,1417.8429411764707,True
90032,2016,residential,372.0,309.73,259.1089108910891,261.02803738317755,257.38613861386136,277.36,387.9333556258834,422.41282517190194,365.22141352484556,347.8823529411765,279.599596578512,321.06930693069313,2405.564746759997,True
90032,2017,residential,365.9275643587616,365.6,305.44065575862453,278.4759340879313,291.6246545818507,332.6534048825479,457.7,472.97178370134304,486.1,336.07346719805724,369.79,328.60350699242093,1679.19,True
90032,2018,residential,347.4845325094379,328.35522487924106,363.069649223645,260.0109168181486,248.32429371187504,277.1865383197978,416.09,500.316757653938,404.21984259028466,306.2132980202321,262.8585396278877,294.29806400489156,416.09,True
90034,2014,residential,322.8435690616606,284.9633592567044,286.26756731750464,267.1674241327448,270.59147713338916,312.1281515883206,403.93694498965937,361.37599213454575,312.2572683221936,373.28571428571433,278.6666666666667,292.75812664771,651.952380952381,True
90034,2015,residential,368.82242990654214,286.29081911223653,303.3457943925234,275.0257730636641,276.8240740740741,300.4811320754717,396.73148148148147,403.92650959902176,487.77777777777777,414.6388488039888,332.86238532110093,312.69158878504675,2779.5366638140185,True
90034,2016,residential,381.7974728787108,313.731892810878,285.2826234568995,281.0641705588531,268.09167263274475,321.37143879290045,428.745283018868,481.8785046728972,394.9719626168225,356.8815062326364,341.462962962963,313.6745249768362,1647.0587132715507,True
90034,2017,residential,388.5092592592592,331.6202424338605,336.3796296296296,285.2685185185185,329.02777777777777,341.6574074074074,463.5538985282977,473.7037037037037,475.8036036288859,362.38888888888886,323.24448354567016,333.57009345794387,2850.5052786431293,True
90034,2018,residential,393.5748822726043,371.90826320285714,411.22720892928004,297.5925925925926,278.73148148148147,324.0,455.9808652953484,538.7339449541283,506.5925925925926,384.98148148148147,337.93577981651384,336.6238532110092,3005.1917261298,True
90038,2014,residential,253.93011420178166,224.1357279306931,225.16154270155704,210.13847269191373,212.8316351173375,245.50198540047566,317.7134823210699,284.2374937782363,245.60354116964598,297.4944444444445,243.6358695652174,213.8854748603352,755.0157888699971,True
90038,2015,residential,209.14124293785312,234.07142857142856,253.56378600823047,291.2737752161384,264.015479876161,283.6819923371648,369.50755287009065,385.2522255192878,406.26666666666665,453.355223880597,286.14803625377635,237.875,3674.1524101373952,False
90038,2016,residential,228.68343195266274,239.32857142857142,251.4878787878788,282.95454545454544,260.8644578313253,277.37878787878793,400.43217665615134,398.28253968253966,351.71118012422363,407.36111111111114,344.07278481012656,252.01863354037263,3694.576099258296,False
90038,2017,residential,238.19873817034699,235.73312883435585,283.90645161290325,270.0766773162939,296.2459546925566,341.48427672955967,402.6737804878049,406.1003236245955,475.4331210191083,337.475884244373,347.85161290322577,301.19322033898305,3936.3731699741065,False
90038,2018,residential,372.935899070816,352.4054729014845,389.6625414682832,302.439446366782,298.67333333333335,337.9967105263158,434.40776699029124,476.7873754152824,457.7401315789474,357.9664429530201,333.58528428093643,294.5699658703072,3294.166457315216,True
90040,2014,residential,386.4294591518806,341.08852505790384,342.64960436644134,319.78757858081843,323.88601843201974,373.6035788320575,483.4946399505466,432.55106365261196,373.7581258462138,444.9923289352562,343.3839779005525,360.60259179265665,1148.9788986284652,True
90040,2015,residential,405.66594960049173,322.0369344413665,323.54979956830095,333.26464274762344,318.466975308642,343.68322023442323,444.75974225222467,478.7986494782075,558.0428087465352,526.2943896424167,379.4942989214176,375.7153442420501,4809.7727551837,False
90040,2016,residential,444.355117139334,350.36150524367673,312.116903146206,318.2674275138803,306.91507692307687,347.78909879219566,490.9023341523342,538.9778256852479,443.7931880945075,433.1763803680981,360.5730994152047,369.6469860896445,4716.874942563407,False
90040,2017,residential,423.2762022194821,370.79765576804436,336.27168879283727,306.81623799194296,328.35494775660726,364.49460043196547,522.4412580943572,524.654000617856,549.7115503397159,387.02344955260725,382.3546601045832,347.01667181228777,4843.212923482286,False
90040,2018,residential,426.413407964498,402.9390012054807,445.5385836482502,317.686594761171,303.02803450400495,346.2598765432098,523.4705519580635,649.1432973805855,539.3449552607219,392.00246229609115,341.84059314179797,353.76032039433153,3766.536686239977,True
90043,2014,residential,574.3606715838318,506.96920144692575,509.2894763090315,475.30902224940377,481.4006454671272,555.2972149562871,718.6313039349125,642.9124734927858,555.5269224093288,529.0295018090732,580.7326262908177,597.996626370537,1707.758754470428,True
90043,2015,residential,592.8017817371938,563.5203455964325,514.6581920903955,485.5172031076581,510.7377185678601,474.9467190128996,536.3261111111111,592.994124230554,660.422850742089,581.7625278396438,598.6386648122392,619.2279575892858,6731.554196437362,False
90043,2016,residential,639.4467849223947,541.9394444444445,504.33853006681517,475.46904367053617,475.73634599390067,501.9346733668342,590.6002773925104,545.1795511221945,531.8096962942324,527.5227777777778,561.2810147755786,633.021603183627,6528.279743010846,False
90043,2017,residential,693.2422882781829,590.9646739130435,509.64038570618266,462.73294951284316,486.1292479108635,489.97518330513253,630.604469273743,566.4913262451036,601.1890519187359,522.1045861297539,562.8263539921832,552.9878668171558,6668.888383002924,False
90043,2018,residential,546.9666928846807,516.8557292222094,571.4988344618315,477.51661547053897,459.9654300168634,446.778878822197,689.3931361607142,644.974573903325,518.3413948256468,472.8821718443885,520.5916479820628,600.9476513865309,4831.391500412268,True
90044,2014,residential,322.4225656396832,284.5917534361705,285.8942607474153,266.81902506093525,270.23861293305157,311.7211215821287,403.4101919352374,360.9047405938962,311.85006994161864,318.32133268245065,313.34389857369257,327.0006147037128,958.6658459598559,True
90044,2015,residential,345.39838096406237,305.47638753651415,298.37609774723177,281.98063337393415,286.91116534472235,288.3850885826772,322.81070559610714,350.47758451739344,370.36378126532617,348.37222019686476,331.62741758910107,354.67006259973,3884.8495253136653,False
90044,2016,residential,386.4115497076023,299.5764691568317,286.3043051637434,284.9205402774398,270.7805413313826,298.09642988590355,359.1142335766424,333.37140769605463,322.58806262230917,321.8875091307524,310.3867936042964,370.92793490894996,3844.3657770619093,False
90044,2017,residential,406.68785046728965,349.5382187938289,337.1069785276073,289.51320891904993,286.020362828582,313.9437476244774,361.4106478034252,361.68572496263084,377.39089891831406,305.82435424354236,319.84626810248795,324.6471234884573,4033.615384679693,False
90044,2018,residential,330.24386402292544,312.0636692894869,345.05571515131555,273.4014598540146,270.5,282.5878328854141,402.90598911070776,405.5215543412265,338.63592055562333,298.8244044019833,292.08875810713425,352.59908389585337,2917.0650031519567,True
90045,2014,residential,294.4050146305782,259.86158620098,261.0509095452151,243.63325445578894,246.75569042897706,284.63349386843186,368.35505983642105,329.5432043473377,284.75123700339793,332.5290322580645,277.19189765458424,265.63973799126643,875.3606679039151,True
90045,2015,residential,255.52826086956523,221.7121535181237,247.58836206896552,269.8980477223427,226.73739495798316,243.4208333333333,288.2889344262295,334.08403361344534,385.97835497835496,385.4823788546256,346.77370689655174,253.3706140350877,3458.863075274609,False
90045,2016,residential,252.66738660907131,238.36853448275863,230.3961456102784,241.4636752136752,237.02569593147754,242.17391304347825,302.39307535641547,334.9429175475687,301.54506437768237,312.85177453027137,276.43859649122805,260.86725663716817,3231.1340358310736,False
90045,2017,residential,227.1868131868132,244.6918103448276,239.7586956521739,217.83089770354906,239.84782608695653,267.60850111856826,320.2993762993763,318.15975103734434,345.58333333333326,272.9445628997868,299.22907488986783,270.86607142857144,3264.006713981169,False
90045,2018,residential,293.3774788368787,277.2268087511828,306.5358263925887,232.1038961038961,217.36764705882354,252.1293103448276,315.68583162217664,368.6180257510728,367.02972399150735,297.0213675213675,284.2099567099567,257.2561247216036,2591.421883825232,True
90046,2014,residential,290.7837402550845,256.66520687141747,257.83990116405147,240.63648871629925,243.7205177438957,281.13241227494626,363.8241766211916,325.48971917481595,281.24870713227995,358.96549219033784,252.10440751445088,253.52355637030252,864.5934560750911,True
90046,2015,residential,293.5904874499818,243.47510373443984,257.1584239875674,252.3007279344859,233.70459081836327,246.20980553273083,331.8714013259468,381.44488796153496,451.0296079685644,440.74777878513146,279.56481901478725,266.98551787351056,3678.0831523870443,False
90046,2016,residential,316.7994188686098,258.8156312625251,233.91704015366318,242.8994265950669,224.7113495816661,252.7549001648653,364.2087941976428,411.4754158289161,324.1819589977221,343.8545983278808,279.52669460641397,264.3302642482276,3517.475492833201,False
90046,2017,residential,286.2079541317801,267.15519898467954,258.6857142857143,218.94770666431904,231.6024882547416,258.35322383365366,375.9922547332186,378.57165149544863,416.4062527063306,282.50680655510274,284.7673771204872,249.31918787033808,3508.515816635814,False
90046,2018,residential,307.2301213164505,290.3168519358473,321.0097772460474,232.78643803585345,221.00928174878555,244.7934659831436,379.8352991820921,472.31020795582015,380.4732274581272,278.57819822947397,249.67545691906003,254.3215782122905,2713.783153724647,True
90047,2014,residential,416.81285218320045,367.9069429343584,369.59076362573063,344.93118877006196,349.3518724509329,402.97852451677716,521.5098774699516,466.56081281075603,403.1452229406195,414.6201382886776,397.8662489196197,426.83209768861747,1239.318484896915,True
90047,2015,residential,441.5996552467141,399.1617425059305,352.79040503342515,363.8922413793104,369.19257340241796,364.77434110215637,415.34240656729315,458.38591549295774,491.91536458333326,463.1487478411053,421.9517137314076,434.82998053212197,4976.985087418174,False
90047,2016,residential,488.7182308522114,386.8565564916829,368.7745714905619,375.3184768498485,347.54155844155844,378.17588591184096,465.0096774193548,433.8793029259897,408.3224419604472,417.0930032292788,391.24962341295463,405.83228346456696,4866.771612450296,False
