ZCTA,Year,CustomerClass,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,AnnualTotalAverage,anyNull?
90002.0,2014.0,commercial,,,,,,,,,,2401.9333333333334,2203.1652173913044,2329.6858407079644,6934.784391432602,True
90002.0,2014.0,residential,,,,,,,,,,412.9007136208501,339.3761978361669,410.29123791705643,1162.5681493740735,True
90002.0,2015.0,commercial,2140.7033898305085,2189.768558951965,2252.259911894273,2219.363247863248,2201.2608695652175,2171.121212121212,2336.7051282051284,2376.273127753304,2484.0177777777776,2436.420600858369,2359.4434782608696,2202.026548672566,27369.36385175444,False
90002.0,2015.0,residential,445.7877475247525,347.4766759345073,341.8327623793211,355.0126582278481,331.7143742255266,350.0381395348837,426.19734403953055,416.7597523219814,474.63048211508556,456.72805666769324,358.20511241145675,475.9857231533209,4780.368828535908,False
90002.0,2016.0,commercial,2230.703056768559,2156.907079646018,2215.871111111111,2148.6184210526317,2124.5131578947367,2228.900900900901,2293.513043478261,2410.6491228070176,2377.4298245614036,2310.225108225108,2344.3842794759826,2356.6923076923076,27198.407413614044,False
90002.0,2016.0,residential,465.74344742522356,374.65,357.21930095886177,326.0664615384615,316.1022551745443,395.5509761388286,438.48925061425064,437.96150292577767,424.3206271134338,387.51643625192014,391.9775591761451,425.634455078728,4741.232272396175,False
90002.0,2017.0,commercial,2277.1725663716816,2324.1121076233185,2327.457399103139,2390.886462882096,2149.5945945945946,2276.6457399103138,2487.683257918552,2645.2201834862385,2717.3594470046082,2406.3318385650223,2335.814479638009,2326.285067873303,28664.563144970874,False
90002.0,2017.0,residential,450.00183992640297,424.4255970606246,343.14590417310666,330.4074754901961,332.1827426810478,385.95552810376773,457.475635917867,447.504132231405,477.07171437365344,375.6800984312519,395.9440172254691,403.48873108984253,4823.283416704635,False
90002.0,2018.0,commercial,,,,2237.137168141593,2235.1846846846847,2357.8423423423424,2440.2044444444446,2759.8722466960353,2887.157894736842,2593.3695652173915,2483.0530973451328,2564.04,22557.861443608464,True
90002.0,2018.0,residential,,,,332.12374276135324,321.559926244622,375.9972401103956,502.4399878456396,560.0787545787546,465.2911701802628,362.05808621216755,384.979242979243,410.9537235672694,3715.481874479707,True
90008.0,2014.0,residential,,,,,,,,,,581.4002932551319,639.337738619677,652.1802067946825,1872.9182386694915,True
90008.0,2015.0,residential,639.509461426492,621.8272327964861,534.5066079295154,527.4087591240876,567.1310751104565,527.47583081571,601.3627019089574,637.2707100591716,762.5550595238095,653.9159292035398,675.9970674486804,686.6754772393539,7435.635912586261,False
90008.0,2016.0,residential,691.3440233236151,629.3048600883652,553.6318114874816,509.0542521994135,551.303074670571,572.6745913818722,654.5226939970718,657.8177777777778,594.3181148748159,568.712389380531,641.1723122238586,665.7772861356932,7289.633187541069,False
90008.0,2017.0,residential,731.5539143279173,627.0131578947369,524.1191176470588,,517.2857142857143,527.9069423929099,705.5745937961595,614.3846153846154,650.1839762611276,557.8050595238095,606.6730769230769,620.434074074074,6682.934242511201,True
90008.0,2018.0,residential,,,,547.0394736842105,495.9632892804699,492.46962962962965,772.9166666666666,727.5066273932254,563.7069219440353,501.00738552437224,593.6458333333334,645.4707646176912,5339.726592073634,True
90022.0,2014.0,commercial,,,,,,,,,,3523.005557485238,3341.5603058741744,2932.217984604619,9796.78384796403,True
90022.0,2014.0,residential,,,,,,,,,,418.6636551055057,321.87674545124827,330.26515980070485,1070.805560357459,True
90022.0,2015.0,commercial,2766.8305613305615,2827.309540389972,2971.497099347353,3029.5680555555555,3057.0644937586685,2985.482130343378,3422.012878524191,3365.484217828651,3658.6640845070424,3661.915224913495,3196.149843912591,2661.117176634214,37603.095307045674,False
90022.0,2015.0,residential,384.8409173423696,299.4153650563022,302.26860450324386,308.9672846237732,292.22125287774145,307.747509718173,398.39306708684325,427.48771759568143,488.1792780178974,476.96395686939667,364.3411543591609,345.1059518013632,4395.932059851946,False
90022.0,2016.0,commercial,2583.367368057951,2684.7016937435187,2746.8856447688563,2817.5111799105607,2839.2911653489173,2905.7430458970794,3298.121243523316,3366.160331720802,3238.8280871670704,3312.7944732297065,3091.229916897507,2819.741714697406,35704.37586496269,False
