,County,Year,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,COUNTY POP
35,99,2014,577.444609209827,479.6613363495243,472.54383251878534,468.9519014928336,587.0048761650539,742.5246957337702,935.1918278570561,825.3603557484612,687.1931862286715,530.5543513332207,497.7550179321315,598.9216088727377,112013
36,45,2014,782.2725702760756,680.3715392792078,690.9612976952391,633.5564095022723,625.6383806615136,639.8183467574482,733.065948027062,683.3011148138764,611.2677828728802,622.6228047440451,672.4138132365691,777.913097425169,87740
37,33,2014,873.0935884947212,754.911277526142,722.7683338420114,627.2849666266006,617.5075635735319,688.142233367898,858.333093373601,766.3416943975286,641.6566589454163,607.1282822642457,724.8168972932262,879.3870804432694,64659
38,23,2014,792.0012353115656,689.8817976858383,717.3181761778063,664.1345978079497,637.6877196649006,591.0016835816829,607.9369709485026,593.7321688260746,575.3852735274404,620.9809328305187,653.6697853741678,737.6709008583791,133795
39,105,2014,688.8121073160094,592.2802176882592,642.0801288749565,620.0192802923114,616.9880665128304,551.1954091908765,659.0002281195258,618.1391632305808,520.9338218244053,635.409072679444,617.1345567089681,635.5254688276234,2238
40,5,2014,676.480867333864,598.7279325294236,594.0137087666518,557.2105174047807,599.2595788156726,721.0079439741262,933.2899670461875,814.3206343393819,690.8600530732265,585.0477403433266,615.2108473946521,742.493527878034,37876
41,57,2014,760.5767104562696,694.8877010945365,699.0444539537089,634.074539391468,633.432607155053,716.4349749788531,953.1136542425005,804.6816518347632,688.3071172916461,635.1498796466077,710.4161796149713,844.0133651997038,81978
42,61,2014,793.6909756088071,680.6287449745822,668.9794508263569,624.7706082369228,744.6919031385914,960.4992204686122,1234.298055719737,1071.269683062638,898.8211448658918,704.2773932923266,702.7401338523764,853.4353648359438,293671
43,113,2014,537.0231110733348,458.0776175527415,453.1033176677462,442.5085590559883,555.1725215041381,693.8399392984404,832.5363663378411,723.6786257621048,631.5340562061708,508.9966732577179,478.9977362538103,557.2358954055101,200849
44,17,2014,821.4279316211876,716.8150351890819,697.9808672504636,646.4347150029556,697.6256572069123,838.3506200703856,1098.9778642956824,962.6636186189617,813.2374565861603,692.490167503426,749.3937640588332,913.8707769954606,150331
